"","n","rho","sig1","sig2","sig3","sig4","sig5","sig6","sig7","sig8","sig9","sig_y","basemu1","basemu2","basemu3","alphas1","alphas2","alphas3","alphas4","betas1","betas2","betas3","betas4","tau","gammas1","gammas2","gammas3","sens","spec","outcome_model","error_systematic","tau1hat","tau1tilde","psi1","psi2","tau1mime","tau1mimeunc","tau1naive","tau1oracle","tau1cvgen","var1hat","var1tilde","var1oracle","var1naive","var1mime","var1mimeunc"
"19","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",0.85183377033675,0.93788122972777,0.657658470586768,0.542907392379304,1.02556038214963,1,0.658172785000739,0.962916153147689,0.931784480234769,0.0222766978943831,0.00904306997532616,0.00225929944066146,0.00196245386884356,0.0103001096030166,1
"20","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",1.2512264761411,1.14023504388038,0.74564147733844,0.910397997663963,1.06245154440212,1,0.745644703296932,1.00505648924511,1.14100477384227,0.0164397058552213,0.00907625791441726,0.00218632485471466,0.00171281303895103,0.013224301667787,1
"21","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",1.21831680716595,1.17893127883154,0.789721721668935,0.853671650832927,1.15512948433367,1,0.789995689137798,1.07468639018281,1.19694319022442,0.0153468923504395,0.0108384591915158,0.00180911834142434,0.00173883214231776,0.00706549770626479,1
"22","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",0.825821931255709,0.992084305572204,0.665926766422978,0.421849304600344,1.1439024492385,1,0.666200449335661,1.01004124092625,0.958497400460157,0.029328907195351,0.0181586041800577,0.00387921056967102,0.00184502202054945,0.0104141385587675,1
"23","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",0.76546530353953,0.75344916027902,0.637798608872559,0.653387768586295,0.917397545638195,1,0.637814554382339,0.91723863895396,0.842695999156651,0.0241330890528358,0.0150151406696768,0.00260432773610856,0.00186378599845149,0.0114266789043159,1
"24","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",0.935074027085585,0.856914098978203,0.645558564608754,0.718462642455727,0.871801488504812,1,0.645398707090413,0.969009036949377,0.964003957778964,0.031142124097587,0.0234782190812162,0.00181554753685138,0.00168157533276548,0.00606436000928017,1
"25","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",0.742514838808838,0.899403399113624,0.665519019238709,0.41146943255748,0.973263766352223,1,0.665564913689976,0.987021714390626,0.894910278010424,0.017281068106594,0.0114376452975301,0.00204168089007078,0.0018762734437289,0.00705084904809281,1
"26","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",1.05343980315381,0.990231920701383,0.721135528295373,0.780380265166596,0.921806255650285,1,0.720935000279715,0.99304343133473,1.04754082032131,0.020903948078248,0.0174234299427628,0.00222952069453103,0.00171081894276677,0.00863100873174346,1
"27","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",1.01927288708792,0.887312203471469,0.65545161003935,0.815612159655624,0.987116280731161,1,0.65533930854625,0.944173115244441,0.923856456820206,0.0202380095554466,0.00963222179842211,0.00214682795412896,0.00177214048579037,0.00420154199057784,1
"28","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",1.19427396690887,1.01184220823627,0.711756087112363,0.960718024276262,1.03546544421565,1,0.711425780666984,0.980305092033594,1.0672681922934,0.0185520473389264,0.00990031698112692,0.00180054863286975,0.00175888239130631,0.00758597464214277,1
