"","n","sig1","sig2","sig3","sig4","sig5","sig6","sig7","sig8","sig9","sig_y","basemu1","basemu2","basemu3","alphas1","alphas2","alphas3","alphas4","betas1","betas2","betas3","betas4","tau","gammas1","gammas2","gammas3","sens","spec","outcome_model","tau1hat","tau1tilde","psi1","psi2","tau1mime","tau1mimeunc","tau1naive","tau1oracle","var1hat","var1tilde","var1oracle","var1naive","var1mime","var1mimeunc"
"350","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.999870360944734,0.969917078273344,0.791082781171364,0.834298122862251,1.01896518058766,0.755866919440675,0.788237848107495,0.907770967594749,0.0146765171213486,0.00747641949806024,0.00235059111398625,0.00204394476348265,0.00746738949708262,0.00428599571637823
"351","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.995968736797278,0.926031191011466,0.83146843327691,0.929746788543179,0.911824592265576,0.773487056558659,0.831488919025946,0.969208283996444,0.0152311068349409,0.00577140178215184,0.00187024118612332,0.00190086705246665,0.00434444906072804,0.00284852823396309
"352","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.855666829216597,1.00438815185673,0.926148708362698,0.798145574110076,0.966693575235988,0.870702031862623,0.926571456796436,1.00508687464758,0.0236759712894309,0.0024598830156178,0.00330185124769647,0.00199365198212087,0.00276727850731466,0.00347969864961339
"353","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.798046253751376,0.882833435867965,0.865147165292512,0.767404579549783,0.918702404074652,0.792193817447988,0.866209107123557,1.02863537257868,0.0194834363038176,0.00559078426837476,0.00214618982230281,0.00209662333795321,0.00503017388715908,0.00318612654490565
"354","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.17702782457545,0.992563207446379,0.871674526081364,1.06977107535036,0.961801935069735,0.82053582347331,0.871949413624556,1.00665670979872,0.0179765026651154,0.00650229120863331,0.0022200337155897,0.0019957140874693,0.00391565737468831,0.00289647078143094
"355","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.836369946110671,1.04795220320416,0.860956852905634,0.617747827268714,1.0546046354366,0.811920319853581,0.854789856684305,1.02132574260379,0.0248987402595738,0.00869324860142874,0.00192555602985915,0.00213840024060592,0.00742452395552138,0.0029109142127914
"356","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.03223469078097,0.93910148434639,0.814723545157766,0.939501060651998,0.968803372880745,0.74073342979238,0.815274482098045,0.924568115047849,0.0178671860673036,0.00669846418818084,0.00212358678242382,0.00201855356170716,0.00520011303678116,0.00364085950502385
"357","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.971743175259185,0.963510577891981,0.884016682802638,0.859411680386175,1.01348388403997,0.834678741079384,0.884249920391704,0.962700261525062,0.0161271984264173,0.00643894122635868,0.00195441666817451,0.00202101601450677,0.00849367846051611,0.00339021254613702
"358","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.996544548235245,1.08572604494581,0.884979782580875,0.775211868338932,1.04904888722324,0.794430802062244,0.879824399369111,1.03089742449145,0.019865571395333,0.00820152829261552,0.00258998517791619,0.00208501690707518,0.0126200454219204,0.00352103105055755
"359","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.16992212004761,1.13170650394535,0.979894633029793,1.04728566804556,1.16757860384942,0.905785176669676,0.973412687412781,1.08294637439782,0.0125951071286089,0.00738737247370888,0.00194945454974727,0.00227889953398476,0.0089037047565124,0.00415835949029547
"360","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.06912363485152,1.04892726617485,0.937892694499353,0.951103436550553,1.06078689112491,0.878864149001087,0.937918199372868,1.04168143788912,0.0207502771985376,0.00567143996238274,0.00200592279999577,0.00185426609058245,0.00592171485090932,0.00409538145779301
"361","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.732210241973821,0.867810090894069,0.88617068540935,0.690780929557532,0.913284584275763,0.824330482145326,0.886879409340024,1.00959131251311,0.0166182838621502,0.00747966160597006,0.00221869114799557,0.00212992296572206,0.022373807505393,0.00346275302312798
"362","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.947182052066481,0.958930986320589,0.880558005330774,0.864133076302225,1.00861649349577,0.83182171457578,0.880300177713889,0.981261581755918,0.0174626064607842,0.00785870473797629,0.00230859319088112,0.00215709363050089,0.00745488805862678,0.00267758192930944
"363","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.03443849897919,1.03887475116143,0.835689154229664,0.820008130883962,0.954869475173327,0.797796394446421,0.83550177121644,0.944923462376783,0.0183518508157608,0.0127349151944025,0.00297936608008532,0.00241606559014099,0.00561711334525923,0.00542426574046237
"364","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.777510835922964,0.980674138788594,0.84070193604576,0.619459532748289,0.9577627737408,0.78934110147071,0.840877988663464,0.964963404572789,0.0208824105119142,0.0002208202448424,0.00185454655388733,0.00181736502632133,0.00471543754296053,0.00220461633916037
"365","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.830856082109346,1.06218939190007,0.917484342879012,0.670872843414749,1.07523386967838,0.853386870032503,0.917807651198726,1.03690460854225,0.0250300295091787,0.0105819320735853,0.00241612929767043,0.00214793818478254,0.00454375935768131,0.00668826638195482
"366","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.802477651236341,0.875998760382808,0.854869789390004,0.77380066924407,0.884505723480301,0.788336660730422,0.854946998947063,0.967747313863607,0.0187959423366715,0.00519655869445454,0.00193984432173999,0.00188771620962984,0.00606720934783976,0.0103578051747109
"367","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.22354931647297,1.07150270352278,0.913764424363248,1.12255100188488,0.981040366442809,0.896777024023715,0.917069668327736,1.01017039380913,0.0188893530368639,0.00850257866102693,0.00214360426520914,0.00215322890566612,0.00404204350074394,0.00404833494463043
"368","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.972999162420493,1.16786198914618,0.878639062374226,0.692990434818319,1.06500935438303,0.760996313644031,0.878119206030589,0.965220647299388,0.0346104146281198,0.0138498067747654,0.00234777873769488,0.00197191555469936,0.00712916270242146,0.00468764466936551
"369","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.964718496318093,1.08645415500975,0.995389045330249,0.848792840855496,1.06822071373771,0.932500429470461,0.99554255716092,1.08025622107093,0.0163803247652551,0.00494708416387535,0.00190120326502662,0.0018060319236018,0.00443284828231039,0.00301290253216184
"370","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.09858762008458,0.875767023394562,0.744904424233287,0.991709482153474,0.902854249512829,0.686925872168198,0.748231029585901,0.957067995327728,0.0278331747971503,0.0121931070978635,0.00233617833267297,0.00251981416406548,0.00611265531080465,0.00326687491828398
"371","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.1706501701486,1.02654439588872,0.828112058667503,1.063229695205,0.912827259667703,0.743466705036283,0.828207117410541,0.997543175684853,0.0157661447785527,0.00797551710049389,0.0021912306479406,0.00218669923720465,0.00581498818148524,0.00316670009770477
"372","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.05548699232653,1.06314251255108,0.820560784788989,0.822689111672942,0.982799364288264,0.78596271341578,0.820557459054374,0.992934686213765,0.0172876870892177,0.006176698910608,0.0019103695504815,0.00199577929711452,0.00292999011354758,0.00245936803670387
"373","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.986820131762682,1.07987610143268,0.887261309312219,0.765981248817504,1.05504250619173,0.812444586583246,0.887300558145086,1.02691643061109,0.0180570459970617,0.00776378521504988,0.001912162566137,0.00192841520744099,0.00406152927008466,0.00316713763753413
"374","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.1252636156434,1.0010365222949,0.907911998198146,1.06879079885292,1.03481578508525,0.836431588488799,0.908744412550366,0.994243359309214,0.0152301407791333,0.00637071783346292,0.00276366805981492,0.00191891653693684,0.00417382271134202,0.0029388660787575
"375","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.08862396466963,1.13083757008547,0.853280009834355,0.818317908898371,1.12116422020131,0.765876297260892,0.854563558636006,0.977097090003342,0.0194136727405441,0.0108547459047502,0.00309626851937808,0.00231790627934892,0.00488297550350106,0.00583143357787185
"376","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.974086334942361,0.958151571482482,0.888730180010414,0.918634368655395,0.950901061285168,0.774169467811055,0.892694665070053,0.987867649563223,0.0155479410922609,0.0104284860051496,0.00214429201642266,0.00248477725750633,0.00578684976034022,0.00397864228275655
"377","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.990985077618153,0.997691647531779,0.837349862775857,0.828563904467729,1.00671028492065,0.780821405530336,0.837231446833995,0.966057893554657,0.0174252089413005,0.00777699145200225,0.00308432729709664,0.00214680584789635,0.007047286014243,0.00360555049205492
"378","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.705432124819212,0.897993895425368,0.874820448966379,0.672871835012091,0.976713446779811,0.825301786743177,0.873955030722277,0.965389529055231,0.030289683197156,0.014503583638716,0.00231950324656565,0.00219372236282472,0.013267795007429,0.00361275700172035
"379","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.998167160324502,1.02047353508949,0.981906598198461,0.95818254182661,1.04962544221847,0.913622643656174,0.981700166805932,1.07256879117457,0.0155769654116348,0.00522734287085303,0.00191430409037467,0.00188666874569728,0.00418202501070112,0.0050608434152429
"380","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.818358839132298,1.00498399202245,0.817991147407687,0.615234171151543,0.94243699852162,0.770832576221213,0.818576254919496,0.942414867635201,0.0214105313268027,0.00646391102459747,0.00211982916013562,0.00200441302456206,0.00617019895406858,0.00305772055098798
"381","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.06053381088018,0.942452216458723,0.819856479013118,0.976235918801438,0.949784197615383,0.737035028359359,0.819799483999426,0.964336970956529,0.0170856900050226,0.00636144314659393,0.00179647348830781,0.00195397703459596,0.00548219822833381,0.00658105105589334
"382","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.904875543941181,0.999843389835327,0.942501966614393,0.82710153004988,1.00895907337472,0.90799033225795,0.940946068117858,1.04059335414457,0.0204349379126795,0.00640678230823725,0.00225795758634947,0.00218786876515817,0.00297510884322243,0.00263766570472155
"383","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.961880477951801,0.931089091675685,0.895241939589417,0.923155811834861,0.934576693312414,0.84233728484989,0.895333220456502,0.995892603286634,0.0158933253657866,0.00505338419822455,0.00185167796131363,0.00186589078418798,0.00269198517380456,0.00228761055692383
"384","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.856312375053997,0.79634680775761,0.817202318320645,0.884731337180301,0.800120369559679,0.75252327581074,0.817122149345688,0.930506942777942,0.0194093372601009,0.00684851627952953,0.0018451924072059,0.00182376107664053,0.00404722443648498,0.00272007975417036
"385","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.881552094820763,0.828453863858387,0.830110618591747,0.893005197453067,0.886223260354694,0.764787168312258,0.829785092141244,0.924396216229974,0.0192267000445266,0.00667929518523443,0.00210162824908951,0.00196059339826583,0.0110753837716485,0.00314577790115521
"386","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.08176043430798,0.949162453461415,0.899777868780856,1.06824046099829,0.894382075460472,0.834292295618294,0.900055712259275,0.986309339774527,0.0192027604707788,0.00662882262039219,0.00215073714205938,0.00217763707865617,0.00273686510524371,0.00305531531494892
"387","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.01115132191453,0.978598021831315,0.91981793695328,0.978140349416193,0.972379891100949,0.846994355519338,0.919448528663587,1.03360099519109,0.0155285340036146,0.00808234637470935,0.00277490223578787,0.00239962107916356,0.00330099943598119,0.00536055996683208
"388","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.13496921840462,1.01308577160413,0.874066390217914,1.01880240764067,0.961170888448688,0.787961497361794,0.873980998757584,0.973862270930864,0.0202018801288494,0.00764703149227414,0.00184228143005193,0.00184198258369605,0.0047510933024736,0.00380625094340557
"389","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.20505847659469,0.961011143986369,0.806775660092355,1.08719531250829,0.953676140577696,0.731619172384043,0.806394174767664,0.911796111303133,0.0849145017239498,0.00392542956014235,0.00246482668830845,0.00200036356174066,0.00627939207286865,0.00674818938412391
"390","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.782189330196197,1.09059317870065,0.870855113454253,0.681235550463441,1.02290568559308,0.808566517440354,0.870896303788784,1.01195931093362,0.0404231809396204,-0.00307933343449699,0.00227271729643917,0.00233659228571829,0.00542768615837763,0.00349839690592746
"391","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.887691391009387,1.03670320821345,0.898922004965164,0.861380997607212,0.978213485901426,0.88830179684526,0.90049389893605,0.942243205714936,0.0408912121507295,0.00763267650081043,0.00274304279991166,0.00285548615346652,0.00405440986244998,0.00324094751819798
"392","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.16000797142636,1.08283248721029,0.888147578052315,0.971039642692725,1.0189538148787,0.826874132932223,0.888185192760775,0.973355194862797,0.0153244200613143,0.00676042419146112,0.00181510588516562,0.0018269829993794,0.00945824421381128,0.00255945836716966
"393","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.995761139183353,1.0252055321686,0.879638278023248,0.838965986745038,0.951558002460402,0.813751037750872,0.879754272452804,1.01616569851225,0.0188633937563434,0.00906382147923322,0.00259941228461384,0.00214118216514079,0.00391407202166105,0.00476265813938913
