"","n11","n22","sig13","sig23","sig_y3","basemu3","shift3","alphas3","betas3","tau3","gammas3","sig_u4","outcome_model4","n14","n24","sig14","sig24","sig_y4","basemu4","shift4","alphas5","betas5","tau6","gammas6","sig_u6","outcome_model7","n18","n28","sig18","sig28","sig_y9","basemu9","shift9","alphas9","betas10","tau10","gammas11","sig_u11","outcome_model11","n112","n213","tau1hat","tau1tilde","psi1","psi2","tau1mime","tau1rcal","tau1naive","tau1oracle"
"22","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.0813147701131319,0.0867146642466454,0.086295357291024,0.0917186337817979,0.0837275321991851,0.0881285163270317,0.0869229969222667,0.0894857083971113
"23","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.148307072200482,0.115498826586784,0.146836896086927,0.106273998010913,0.112198252810537,0.10527924180681,0.141708751434643,0.103461865927091
"24","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.0737103341242115,0.113002006774637,0.0782020030109899,0.11996530497639,0.115808657029065,0.118468434820574,0.0773655700166483,0.115480715725027
"25","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.0724793646964218,0.0778659541214784,0.0808230204246891,0.0838765992897247,0.081008062458734,0.08424462694146,0.0804825618219262,0.084599690239041
"26","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.0981478630261802,0.0906921810743191,0.0983371810221249,0.0914700012524455,0.0923334723355389,0.0868030283581309,0.100423569177752,0.0923864790235228
"27","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.0261708893667707,0.100679519900659,0.0288458050035298,0.104220773029629,0.0950832353491972,0.102837483614714,0.0346703125249398,0.104927254832646
"28","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.173635295593179,0.0899628325158732,0.186918804386572,0.0939844199362052,0.103838097925367,0.0934245794104598,0.185763124745759,0.0896619395886393
"29","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.143652475966929,0.109630847158451,0.143552538784487,0.105796840072768,0.112485043702903,0.105147331095245,0.141923770117364,0.103497564946215
"30","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.0348858116590845,0.090720317301729,0.0453065055165272,0.108997413817817,0.099266957508613,0.107835052995056,0.0418895452548986,0.108657010809211
"31","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.0118480511106965,0.11753441633701,0.0258193196282044,0.134915504011987,0.125517633112813,0.133987486776588,0.0244537123833723,0.133671704848566
